Model,Spacing,Accuracy,Set Size
TopK,0.8499999642372131,1.0,32
Mean,0.8499999642372131,1.0,32
Multi-Head Attention,0.8499999642372131,1.0,128
TopK,0.8499999642372131,1.0,128
Mean,0.8499999642372131,1.0,128
Baseline,0.8999999761581421,0.8733000159263611,1
Multi-Head Attention,0.8999999761581421,0.9995999932289124,8
TopK,0.8999999761581421,0.9991000294685364,8
Mean,0.8999999761581421,0.9991999864578247,8
Multi-Head Attention,0.8999999761581421,1.0,32
TopK,0.8999999761581421,1.0,32
Mean,0.8999999761581421,1.0,32
Multi-Head Attention,0.8999999761581421,1.0,128
TopK,0.8999999761581421,1.0,128
Mean,0.8999999761581421,1.0,128
Baseline,0.949999988079071,0.8841999769210815,1
Multi-Head Attention,0.949999988079071,0.9994000196456909,8
TopK,0.949999988079071,0.9991000294685364,8
Mean,0.949999988079071,0.9988999962806702,8
Multi-Head Attention,0.949999988079071,1.0,32
TopK,0.949999988079071,1.0,32
Mean,0.949999988079071,1.0,32
Multi-Head Attention,0.949999988079071,1.0,128
TopK,0.949999988079071,1.0,128
Mean,0.949999988079071,1.0,128
Baseline,1.0,0.9025999903678894,1
Multi-Head Attention,1.0,0.9995999932289124,8
TopK,1.0,1.0,8
Mean,1.0,0.9998000264167786,8
Multi-Head Attention,1.0,1.0,32
TopK,1.0,1.0,32
Mean,1.0,1.0,32
Multi-Head Attention,1.0,1.0,128
TopK,1.0,1.0,128
Mean,1.0,1.0,128
Baseline,1.0499999523162842,0.9057000279426575,1
Multi-Head Attention,1.0499999523162842,0.9998000264167786,8
TopK,1.0499999523162842,1.0,8
Mean,1.0499999523162842,0.9998999834060669,8
Multi-Head Attention,1.0499999523162842,1.0,32
TopK,1.0499999523162842,1.0,32
Mean,1.0499999523162842,1.0,32
Multi-Head Attention,1.0499999523162842,1.0,128
TopK,1.0499999523162842,1.0,128
Mean,1.0499999523162842,1.0,128
Baseline,1.100000023841858,0.9132000207901001,1
Multi-Head Attention,1.100000023841858,1.0,8
TopK,1.100000023841858,0.9994999766349792,8
Mean,1.100000023841858,0.9998999834060669,8
Multi-Head Attention,1.100000023841858,1.0,32
TopK,1.100000023841858,1.0,32
Mean,1.100000023841858,1.0,32
Multi-Head Attention,1.100000023841858,1.0,128
TopK,1.100000023841858,1.0,128
Mean,1.100000023841858,1.0,128
Baseline,1.149999976158142,0.9247999787330627,1
Multi-Head Attention,1.149999976158142,1.0,8
TopK,1.149999976158142,1.0,8
Mean,1.149999976158142,1.0,8
Multi-Head Attention,1.149999976158142,1.0,32
TopK,1.149999976158142,1.0,32
Mean,1.149999976158142,1.0,32
Multi-Head Attention,1.149999976158142,1.0,128
TopK,1.149999976158142,1.0,128
Mean,1.149999976158142,1.0,128
Baseline,1.2000000476837158,0.9380000233650208,1
